z,mu_obs,mu_err,mu_LCDM,mu_DK_RND2
0.0195,34.7556470033,0.191040914154,34.70986643374871,34.709162558912695
0.0256,35.6821627437,0.179228108521,35.31094714133506,35.310236050741466
0.0337,35.8268020378,0.172930780679,35.9211108520795,35.92039010994168
0.0546,36.6034159881,0.16950794454,37.002317730711155,37.00157172227784
0.024,35.1708581962,0.189072007408,35.1681750085129,35.16746581497516
0.0336,36.0054974141,0.181737645865,35.91449553782101,35.91377491532167
0.0341,35.8323574252,0.167946113517,35.94738179651891,35.9466605757067
0.0261,35.3540611638,0.185600393489,35.35377001584628,35.35305833178316
0.0211,34.6494717372,0.18146401803,34.88375135145161,34.88304558836149
0.0321,35.8862461317,0.166313999169,35.812888553716256,35.8121697243475
0.0221,34.9213754902,0.182214269008,34.9859508922937,34.98524394745218
