l,Dl_obs,Dl_LCDM,Dl_RDM_DES,Dl_RDM_Planck
86.0,2525.92485,2606.4849809343787,2673.0595006616995,2673.0595006616995
87.0,2180.32949,2649.460499739251,2716.7770528427495,2716.7770528427495
88.0,1774.61013,2692.8754621697553,2760.9420043789905,2760.9420043789905
89.0,2930.03972,2736.7283241721484,2805.5527079784997,2805.5527079784997
90.0,2255.50107,2781.01738435251,2850.607358836885,2850.607358836885
91.0,2414.51603,2825.7407821094853,2896.103992603334,2896.103992603334
92.0,2582.01377,2870.8964958171564,2942.0404834078718,2942.0404834078718
93.0,2814.58993,2916.4823410599597,2988.4145419509528,2988.4145419509528
94.0,2153.76783,2962.4959689215475,3035.223713656572,3035.223713656572
95.0,2158.69964,3008.9348643295075,3082.465376890158,3082.465376890158
96.0,2367.99928,3055.7963444578113,3130.136741242537,3130.136741242537
97.0,2663.32976,3103.0775571889003,3178.234845881344,3178.234845881344
98.0,2222.54729,3150.7754796372483,3226.7565579712214,3226.7565579712214
99.0,3013.83617,3198.8869167362736,3275.6985711642556,3275.6985711642556
100.0,2919.08745,3247.4084998904327,3325.057404162071,3325.057404162071
101.0,2782.38348,3296.3366856943076,3374.829399351032,3374.829399351032
102.0,2896.76227,3345.667754720508,3425.0107215120292,3425.0107215120292
103.0,2626.14993,3395.397810378145,3475.5973566063212,3475.5973566063212
104.0,3029.25427,3445.5227778436465,3526.585110638913,3526.585110638913
105.0,2267.54847,3496.0384030656496,3577.9696086009444,3577.9696086009444
106.0,2792.25466,3546.9402518456573,3629.746293492561,3629.746293492561
107.0,3323.76585,3598.2237089961673,3681.9104254277495,3681.9104254277495
108.0,3927.24232,3649.8839775778897,3734.457080822561,3734.457080822561
109.0,3033.82038,3701.9160782176864,3787.3811516681844,3787.3811516681844
110.0,3429.38387,3754.314848508824,3840.677344890287,3840.677344890287
111.0,2910.10496,3807.0749424950573,3894.340181795992,3894.340181795992
112.0,3039.35904,3860.1908302400893,3948.3639976099103,3948.3639976099103
113.0,2337.90275,3913.656797483856,4002.7429411005264,4002.7429411005264
114.0,2209.15272,3967.4669453870715,4057.47097429828,4057.47097429828
115.0,3343.44611,4021.615190365434,4112.541872306619,4112.541872306619
116.0,4337.15308,4076.0952640148257,4167.94922320726,4167.94922320726
117.0,4457.74454,4130.90071312881,4223.686428060879,4223.686428060879
118.0,3457.02104,4186.024899809679,4279.74670100438,4279.74670100438
119.0,3135.9129,4241.461001674262,4336.123069445888,4336.123069445888
120.0,2669.67726,4297.2020121556325,4392.808374358524,4392.808374358524
121.0,4125.21641,4353.240740901833,4449.795270674012,4449.795270674012
122.0,3450.49755,4409.569814272646,4507.076227777086,4507.076227777086
123.0,4116.21935,4466.181675935426,4564.64353010165,4564.64353010165
124.0,2948.81885,4523.068587560902,4622.489277829539,4622.489277829539
125.0,3271.639,4580.222629619853,4680.605387692735,4680.605387692735
126.0,3324.06505,4637.635702281451,4738.983593879793,4738.983593879793
127.0,3716.67835,4695.299526414045,4797.615449047181,4797.615449047181
128.0,3804.63957,4753.20564468907,4856.492325436184,4856.492325436184
129.0,2897.9602,4811.345422788712,4915.605416095971,4915.605416095971
130.0,4032.31034,4869.7100507179,4974.945736213346,4974.945736213346
131.0,3245.23913,4928.290544221105,5034.504124549606,5034.504124549606
132.0,2891.49353,4987.077746304406,5094.271244984963,5094.271244984963
133.0,3885.60051,5046.062328863151,5154.2375881708,5154.2375881708
134.0,3560.18902,5105.234794415526,5214.393473290041,5214.393473290041
135.0,4312.22189,5164.585477942249,5274.729049925809,5274.729049925809
136.0,4669.22603,5224.104548832524,5335.234300038507,5335.234300038507
137.0,4062.89976,5283.782012936354,5395.899040051339,5395.899040051339
138.0,3946.39273,5343.607714723184,5456.712923044254,5456.712923044254
139.0,4219.05142,5403.571339546825,5517.665441056193,5517.665441056193
140.0,3815.06138,5463.662416016495,5578.745927495485,5578.745927495485
141.0,4204.90825,5523.8703184737615,5639.943559658101,5639.943559658101
