Temperature (K),Velocity (m/s),Relative ΔGab (%)
0.01,26073737.373737372,0.669898281907817
0.01,26375757.575757574,0.6855682460440614
0.01,26677777.777777776,0.7014215069964435
0.01,26979797.979797978,0.7174581630890207
0.01,27281818.18181818,0.7336783138255389
0.01,27583838.38383838,0.7500820598909048
0.01,27885858.585858583,0.7666695031537024
0.01,28187878.787878785,0.7834407466680725
0.01,28489898.989898987,0.8003958946759775
0.01,28791919.19191919,0.8175350526094481
0.01,29093939.39393939,0.8348583270925779
0.01,29395959.595959596,0.8523658259441377
0.01,29697979.7979798,0.8700576581792985
0.01,30000000.0,0.8879339340124597
0.03742424242424243,100000.0,7.057750578590983e-06
0.03742424242424243,402020.202020202,0.0001140676324381373
0.03742424242424243,704040.404040404,0.0003498345081222874
0.03742424242424243,1006060.606060606,0.0007143598133427126
0.03742424242424243,1308080.808080808,0.0012076457680109745
0.03742424242424243,1610101.01010101,0.001829695376006146
0.03742424242424243,1912121.212121212,0.0025805124255814742
0.03742424242424243,2214141.414141414,0.0034601014891707305
0.03742424242424243,2516161.616161616,0.004468467923717415
0.03742424242424243,2818181.818181818,0.005605617870461743
0.03742424242424243,3120202.02020202,0.006871558255463493
0.03742424242424243,3422222.222222222,0.00826629678942773
0.03742424242424243,3724242.424242424,0.009789841968014633
0.03742424242424243,4026262.626262626,0.011442203071916967
0.03742424242424243,4328282.828282828,0.013223390167189274
0.03742424242424243,4630303.03030303,0.015133414105247885
0.03742424242424243,4932323.232323232,0.017172286523316295
0.03742424242424243,5234343.434343434,0.019340019844522008
0.03742424242424243,5536363.636363636,0.02163662727816763
0.03742424242424243,5838383.838383839,0.02406212282002135
0.03742424242424243,6140404.04040404,0.026616521252549312
0.03742424242424243,6442424.242424242,0.029299838145361013
0.03742424242424243,6744444.444444444,0.03211208985532549
0.03742424242424243,7046464.646464646,0.03505329352701671
0.03742424242424243,7348484.848484848,0.0381234670931396
0.03742424242424243,7650505.05050505,0.041322629274646236
0.03742424242424243,7952525.252525252,0.04465079958147171
0.03742424242424243,8254545.454545454,0.04810799831251476
0.03742424242424243,8556565.656565657,0.051694246556470466
0.03742424242424243,8858585.858585859,0.0554095661919077
0.03742424242424243,9160606.06060606,0.05925397988790817
0.03742424242424243,9462626.262626262,0.06322751110453119
0.03742424242424243,9764646.464646464,0.06733018409323968
0.03742424242424243,10066666.666666666,0.07156202389728751
0.03742424242424243,10368686.868686868,0.0759230563525134
0.03742424242424243,10670707.07070707,0.08041330808755398
0.03742424242424243,10972727.272727272,0.08503280652461835
0.03742424242424243,11274747.474747473,0.08978157987991416
0.03742424242424243,11576767.676767677,0.0946596571642672
0.03742424242424243,11878787.878787879,0.09966706818372184
0.03742424242424243,12180808.08080808,0.10480384354010244
0.03742424242424243,12482828.282828283,0.11007001463176876
0.03742424242424243,12784848.484848484,0.11546561365409992
0.03742424242424243,13086868.686868686,0.12099067360017231
0.03742424242424243,13388888.888888888,0.12664522826157282
0.03742424242424243,13690909.09090909,0.13242931222894108
0.03742424242424243,13992929.292929292,0.13834296089270537
